Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
integrating soft and hard dose-volume constraints into hierarchical constrained imrt optimization,https://pubmed.ncbi.nlm.nih.gov/31742731/,04,12,2019,Medical physics,47,2,2473-4209,Sovanlal,Mukherjee,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Linda,Hong,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Joseph O,Deasy,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Masoud,Zarepisheh,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proton therapy for head and neck squamous cell carcinomas: from physics to clinic,https://pubmed.ncbi.nlm.nih.gov/31358445/,26,07,2019,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,23,5,1769-6658,A,Beddok,"Département d'oncologie-radiothérapie, institut Curie, 25, rue d'Ulm, 75005 Paris, France.",A,Vela,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France.",V,Calugaru,"Département d'oncologie-radiothérapie, institut Curie, 25, rue d'Ulm, 75005 Paris, France.",T,Tessonnier,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France.",J,Kubes,"Proton Therapy Centre Czech, Prague, République tchèque.",P,Dutheil,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France.",A,Gérard,"Centre Antoine-Lacassagne, département d'oncologie-radiothérapie, 33, avenue Valombrose, 06000 Nice, France.",M,Vidal,"Centre Antoine-Lacassagne, département d'oncologie-radiothérapie, 33, avenue Valombrose, 06000 Nice, France.",F,Goudjil,"Département d'oncologie-radiothérapie, institut Curie, 25, rue d'Ulm, 75005 Paris, France.",C,Florescu,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France.",E,Kammerer,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France.",K,Bénézery,"Centre Antoine-Lacassagne, département d'oncologie-radiothérapie, 33, avenue Valombrose, 06000 Nice, France.",J,Hérault,"Centre Antoine-Lacassagne, département d'oncologie-radiothérapie, 33, avenue Valombrose, 06000 Nice, France.",J,Bourhis,"Département d'oncologie-radiothérapie, centre hospitalier universitaire vaudois, Lausanne, Suisse.",J,Thariat,"Département d'oncologie-radiothérapie, centre François-Baclesse, Caen, 3, avenue du Général-Harris, 14000 Caen, France; Unicaen - Normandie Université, 14000 Caen, France; Advanced Resource Centre for Hadrontherapy in Europe (Archade), 3, avenue du Général-Harris, 14000 Caen, France; Laboratoire de physique corpusculaire IN2P3/Ensicaen - UMR6534, Unicaen - Normandie Université, 14000 Caen, France. Electronic address: jthariat@gmail.com.",,,,Gortec et de trois centres français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantification of plan robustness against different uncertainty sources for classical and anatomical robust optimized treatment plans in head and neck cancer proton therapy,https://pubmed.ncbi.nlm.nih.gov/31778315/,28,11,2019,The British journal of radiology,93,1107,1748-880X,Macarena,Cubillos-Mesías,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Esther G C,Troost,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Fabian,Lohaus,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Linda,Agolli,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Maximilian,Rehm,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Christian,Richter,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Kristin,Stützer,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
towards fast and robust 4d optimization for moving tumors with scanned proton therapy,https://pubmed.ncbi.nlm.nih.gov/31595521/,29,10,2019,Medical physics,46,12,2473-4209,Gregory,Buti,"Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Université Catholique de Louvain, Brussels, 1200, Belgium.",Kevin,Souris,"Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Université Catholique de Louvain, Brussels, 1200, Belgium.",Ana Maria Barragán,Montero,"Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Université Catholique de Louvain, Brussels, 1200, Belgium.",John Aldo,Lee,"Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Université Catholique de Louvain, Brussels, 1200, Belgium.",Edmond,Sterpin,"Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Université Catholique de Louvain, Brussels, 1200, Belgium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a column generation heuristic for vmat planning with adaptive cvar constraints,https://pubmed.ncbi.nlm.nih.gov/31484171/,21,10,2019,Physics in medicine and biology,64,20,1361-6560,Pınar,Dursun,"Department of Industrial Engineering, Boğaziçi University, 34342, Bebek, İstanbul, Turkey.",Z Caner,Taşkın,,I Kuban,Altınel,,Hatice,Bilge,,Nazmiye Dönmez,Kesen,,Murat,Okutan,,Ethem Nezih,Oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
towards optimal stopping in radiation therapy,https://pubmed.ncbi.nlm.nih.gov/31005230/,06,02,2019,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,134,,1879-0887,Ali,Ajdari,"Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, USA. Electronic address: aajdari@mgh.harvard.edu.",Maximilian,Niyazi,"Department of Radiation Oncology, Ludwig-Maximilians University, Munich, Germany. Electronic address: Maximilian.Niyazi@med.uni-muenchen.de.",Nils Henrik,Nicolay,"Department of Radiation Oncology, University of Freiburg Medical Center, Germany. Electronic address: nils.nicolay@uniklinik-freiburg.de.",Christian,Thieke,"Department of Radiation Oncology, Ludwig-Maximilians University, Munich, Germany. Electronic address: Christian.Thieke@med.uni-muenchen.de.",Robert,Jeraj,"Department of Medical Physics, University of Wisconsin, Madison, USA. Electronic address: rjeraj@wisc.edu.",Thomas,Bortfeld,"Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, USA. Electronic address: tbortfeld@mgh.harvard.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using robust optimization for skin flashing in intensity modulated radiation therapy for breast cancer treatment: a feasibility study,https://pubmed.ncbi.nlm.nih.gov/31627030/,15,10,2019,Practical radiation oncology,10,1,1879-8519,Xiaoying,Liang,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida. Electronic address: xliang@floridaproton.org.",Julie A,Bradley,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Raymond B,Mailhot Vega,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Michael,Rutenberg,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Dandan,Zheng,"Department of Radiation Oncology, University of Nebraska Medical Center, Omaha, Nebraska.",Nataliya,Getman,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Kelly W,Norton,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Nancy,Mendenhall,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",Zuofeng,Li,"Department of Radiation Oncology, University of Florida College of Medicine, Jacksonville, Florida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a stochastic frontier analysis for enhanced treatment quality of high-dose-rate brachytherapy plans,https://pubmed.ncbi.nlm.nih.gov/30731437/,14,03,2019,Physics in medicine and biology,64,6,1361-6560,Paul,Edimo,"Département de Radio-Oncologie et CR CHU de Québec, Université Laval, 11 Côte du Palais, Québec (QC), G1R 2J6, Canada. Département de Physique, de Génie Physique et d'Optique et Centre de Recherche en Cancérologie, Université Laval, 2325 Rue de l'Université, Québec (QC), G1V 0A6, Canada.",Angelika,Kroshko,,Luc,Beaulieu,,Louis,Archambault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simultaneous optimization of isocenter locations and sector duration in radiosurgery,https://pubmed.ncbi.nlm.nih.gov/30537699/,10,01,2019,Physics in medicine and biology,64,2,1361-6560,M,Cevik,"Department of Mechanical and Industrial Engineering, Ryerson University, ON, Canada.",D,Aleman,,Y,Lee,,A,Berdyshev,,H,Nordström,,S,Riad,,A,Sahgal,,M,Ruschin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation of response to conventional chemotherapy and radiotherapy by perfusion computed tomography in non-small cell lung cancer (nsclc),https://pubmed.ncbi.nlm.nih.gov/31197486/,13,06,2019,European radiology experimental,3,1,2509-9280,Carmen,Trinidad López,"Department of Radiology, POVISA Hospital, 5 Salamanca st, 36208, Vigo, Pontevedra, Spain. carmen@mianet.eu.",Javier,De La Fuente Aguado,"Department of Internal Medicine, POVISA Hospital, Vigo, Spain.",Roque,Oca Pernas,"Department of Radiology, Osatek, Urduliz Hospital, Vizcaya, Spain.",Carlos,Delgado Sánchez-Gracián,"Department of Radiology, POVISA Hospital, 5 Salamanca st, 36208, Vigo, Pontevedra, Spain.",Eloisa,Santos Armentia,"Department of Radiology, POVISA Hospital, 5 Salamanca st, 36208, Vigo, Pontevedra, Spain.",Antonio,Vaamonde Liste,"Department of Statistics and Operational Research, Faculty of Economic and Business Sciences, Vigo University Spain, Vigo, Spain.",Raquel,Prada González,"Department of Radiology, POVISA Hospital, 5 Salamanca st, 36208, Vigo, Pontevedra, Spain.",Miguel,Souto Bayarri,"Department of Radiology, Complexo Hospitalario Universitario de Santiago de Compostela, Santiago de Compostela, Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
