Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Journal Issue,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Collective Author 1
flattening filter free in intensity-modulated radiotherapy (imrt) - theoretical modeling with delivery efficiency analysis,https://pubmed.ncbi.nlm.nih.gov/30371944/,20,11,2018,Medical physics,46,2473-4209,Chaoqiong,Ma,"Key Lab for Radiation Physics and Technology of Education Ministry of China, Institute of Nuclear Science and Technology, Sichuan University, Chengdu, SC, 610064, China.",Mingli,Chen,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",Troy,Long,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",1,David,Parsons,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",Xuejun,Gu,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",Steve,Jiang,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",Qing,Hou,"Key Lab for Radiation Physics and Technology of Education Ministry of China, Institute of Nuclear Science and Technology, Sichuan University, Chengdu, SC, 610064, China.",Weiguo,Lu,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, TX, 75390, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinical implementation in proton therapy of multi-field optimization by a hybrid method combining conventional ptv with robust optimization,https://pubmed.ncbi.nlm.nih.gov/31851957/,10,02,2020,Physics in medicine and biology,65,1361-6560,Francesco,Tommasino,"Department of Physics, University of Trento, Via Sommarive, 14-38123 Povo (TN), Italy. Trento Institute for Fundamental Physics and Applications (TIFPA), National Institute for Nuclear Physics, (INFN), Povo, Italy. Author to whom any correspondence should be addressed.",Lamberto,Widesott,,Francesco,Fracchiolla,,4,Stefano,Lorentini,,Roberto,Righetto,,Carlo,Algranati,,Emanuele,Scifoni,,Francesco,Dionisi,,Daniele,Scartoni,,Dante,Amelio,,Marco,Cianchetti,,Marco,Schwarz,,Maurizio,Amichetti,,Paolo,Farace,,,,,,,,,,,,,,,,,,,,,,,,,,
a novel linear programming approach to fluence map optimization for intensity modulated radiation therapy treatment planning,https://pubmed.ncbi.nlm.nih.gov/14653560/,07,11,2003,Physics in medicine and biology,48,0031-9155,H Edwin,Romeijn,"Department of Industrial and Systems Engineering, University of Florida, Gainesville. FL 32611-6595, USA. romeijn@ise.ufl.edu",Ravindra K,Ahuja,,James F,Dempsey,,21,Arvind,Kumar,,Jonathan G,Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the impact of treatment accuracy on proton therapy patient selection for oropharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/29074078/,23,10,2017,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,125,1879-0887,Tine,Arts,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands. Electronic address: t.arts-3@umcutrecht.nl.",Sebastiaan,Breedveld,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",Martin A,de Jong,"Department of Radiation Oncology, LUMC, Leiden, The Netherlands.",3,Eleftheria,Astreinidou,"Department of Radiation Oncology, LUMC, Leiden, The Netherlands.",Lisa,Tans,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",Fatma,Keskin-Cambay,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",Augustinus D G,Krol,"Department of Radiation Oncology, LUMC, Leiden, The Netherlands.",Steven,van de Water,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",Rik G,Bijman,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",Mischa S,Hoogeman,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mctp system model based on linear programming optimization of apertures obtained from sequencing patient image data maps,https://pubmed.ncbi.nlm.nih.gov/25086529/,XX,08,2014,Medical physics,41,2473-4209,A,Ureba,"Dpto. Fisiología Médica y Biofísica. Facultad de Medicina, Universidad de Sevilla, E-41009 Sevilla, Spain.",F J,Salguero,"Nederlands Kanker Instituut, Antoni van Leeuwenhoek Ziekenhuis, 1066 CX Ámsterdam, The Nederlands.",A R,Barbeiro,"Dpto. Fisiología Médica y Biofísica, Facultad de Medicina, Universidad de Sevilla, E-41009 Sevilla, Spain.",8,E,Jimenez-Ortega,"Dpto. Fisiología Médica y Biofísica, Facultad de Medicina, Universidad de Sevilla, E-41009 Sevilla, Spain.",J A,Baeza,"Dpto. Fisiología Médica y Biofísica, Facultad de Medicina, Universidad de Sevilla, E-41009 Sevilla, Spain.",H,Miras,"Servicio de Radiofísica, Hospital Universitario Virgen Macarena, E-41009 Sevilla, Spain.",R,Linares,"Servicio de Radiofísica, Hospital Infanta Luisa, E-41010 Sevilla, Spain.",M,Perucha,"Servicio de Radiofísica, Hospital Infanta Luisa, E-41010 Sevilla, Spain.",A,Leal,"Dpto. Fisiología Médica y Biofísica, Facultad de Medicina, Universidad de Sevilla, E-41009 Sevilla, Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automated knowledge-based intensity-modulated proton planning: an international multicenter benchmarking study,https://pubmed.ncbi.nlm.nih.gov/30400263/,02,11,2018,Cancers,10,2072-6694,Alexander R,Delaney,"Cancer Center Amsterdam, Department of Radiation Oncology, VU University Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands. alexrdelaney@gmail.com.",Lei,Dong,"Department of Radiation Oncology, University of Pennsylvania, Philadelphia, PA 19104, USA. Lei.Dong@uphs.upenn.edu.",Anthony,Mascia,"Department of Radiation Oncology, University of Cincinnati Medical Center, 234 Goodman Street, Cincinnati, OH 45219, USA. Anthony.Mascia@cchmc.org.",11,Wei,Zou,"Department of Radiation Oncology, University of Pennsylvania, Philadelphia, PA 19104, USA. Wei.Zou@uphs.upenn.edu.",Yongbin,Zhang,"Department of Radiation Oncology, University of Cincinnati Medical Center, 234 Goodman Street, Cincinnati, OH 45219, USA. Yongbin.Zhang@UCHealth.com.",Lingshu,Yin,"Department of Radiation Oncology, University of Pennsylvania, Philadelphia, PA 19104, USA. Lingshu.Yin@uphs.upenn.edu.",Sara,Rosas,"Paul Scherrer Institute, Center for Proton Radiotherapy, 5232 Villigen, Switzerland. Sara.Rosas@psi.ch.",Jan,Hrbacek,"Paul Scherrer Institute, Center for Proton Radiotherapy, 5232 Villigen, Switzerland. jan.hrbacek@psi.ch.",Antony J,Lomax,"Paul Scherrer Institute, Center for Proton Radiotherapy, 5232 Villigen, Switzerland. tony.lomax@psi.ch.",Ben J,Slotman,"Cancer Center Amsterdam, Department of Radiation Oncology, VU University Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands. bj.slotman@vumc.nl.",Max,Dahele,"Cancer Center Amsterdam, Department of Radiation Oncology, VU University Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands. m.dahele@vumc.nl.",Wilko F A R,Verbakel,"Cancer Center Amsterdam, Department of Radiation Oncology, VU University Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands. w.verbakel@vumc.nl.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
determining clinical patient selection guidelines for head and neck adaptive radiation therapy using random forest modelling and a novel simplification heuristic,https://pubmed.ncbi.nlm.nih.gov/34164338/,07,06,2021,Frontiers in oncology,11,2234-943X,Sarah,Weppler,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",Harvey,Quon,"Department of Radiation Oncology, Tom Baker Cancer Centre, Calgary, AB, Canada.",Colleen,Schinkel,"Department of Medical Physics, Tom Baker Cancer Centre, Calgary, AB, Canada.",,James,Ddamba,"Department of Radiation Oncology, Tom Baker Cancer Centre, Calgary, AB, Canada.",Nabhya,Harjai,"Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",Clarisse,Vigal,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",Craig A,Beers,"Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",Lukas,Van Dyke,"Department of Medical Physics, Tom Baker Cancer Centre, Calgary, AB, Canada.",Wendy,Smith,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the price of robustness; impact of worst-case optimization on organ-at-risk dose and complication probability in intensity-modulated proton therapy for oropharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/27178142/,10,05,2016,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,120,1879-0887,Steven,van de Water,"Erasmus MC Cancer Institute, Department of Radiation Oncology, Rotterdam, The Netherlands. Electronic address: s.vandewater@hollandptc.nl.",Iris,van Dam,"Erasmus MC Cancer Institute, Department of Radiation Oncology, Rotterdam, The Netherlands; Delft University of Technology, Faculty of Applied Sciences, Section Radiation Detection and Medical Imaging, The Netherlands.",Dennis R,Schaart,"Delft University of Technology, Faculty of Applied Sciences, Section Radiation Detection and Medical Imaging, The Netherlands.",1,Abrahim,Al-Mamgani,"Erasmus MC Cancer Institute, Department of Radiation Oncology, Rotterdam, The Netherlands.",Ben J M,Heijmen,"Erasmus MC Cancer Institute, Department of Radiation Oncology, Rotterdam, The Netherlands.",Mischa S,Hoogeman,"Erasmus MC Cancer Institute, Department of Radiation Oncology, Rotterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust optimization to reduce the impact of biological effect variation from physical uncertainties in intensity-modulated proton therapy,https://pubmed.ncbi.nlm.nih.gov/30523932/,08,01,2019,Physics in medicine and biology,64,1361-6560,Xuemin,Bai,"Department of Industrial Engineering, University of Houston, Houston, TX, United States of America.",Gino,Lim,,David,Grosshans,,2,Radhe,Mohan,,Wenhua,Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composite minimax robust optimization of vmat improves target coverage and reduces non-target dose in head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/31015132/,11,04,2019,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,136,1879-0887,Dirk,Wagenaar,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands. Electronic address: ir.d.wagenaar@gmail.com.",Roel G J,Kierkels,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Jeffrey,Free,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",,Johannes A,Langendijk,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Stefan,Both,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Erik W,Korevaar,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
