Title,URL,Reviewer1,Decision1,Comments1,Reviewer2,Decision2,Comments2
a novel fluence map optimization model incorporating leaf sequencing constraints,https://pubmed.ncbi.nlm.nih.gov/20124655/,Mohammad,,,Cem,,
the price of robustness; impact of worst-case optimization on organ-at-risk dose and complication probability in intensity-modulated proton therapy for oropharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/27178142/,Mohammad,,,Lucas,,
determining clinical patient selection guidelines for head and neck adaptive radiation therapy using random forest modelling and a novel simplification heuristic,https://pubmed.ncbi.nlm.nih.gov/34164338/,Soheil,,,Cem,,
a treatment planning method for better management of radiation-induced oral mucositis in locally advanced head and neck cancer,https://pubmed.ncbi.nlm.nih.gov/29628628/,Soheil,,,Cem,,
a comprehensive formulation for volumetric modulated arc therapy planning,https://pubmed.ncbi.nlm.nih.gov/27370141/,Soheil,,,Cem,,
a fast robust optimizer for intensity modulated proton therapy using gpu,https://pubmed.ncbi.nlm.nih.gov/32141699/,Soheil,,,Lucas,,
intensity-modulated proton therapy (impt) versus intensity-modulated radiation therapy (imrt) for the treatment of head and neck cancer: a dosimetric comparison,https://pubmed.ncbi.nlm.nih.gov/33648823/,Soheil,,,Cem,,
optimal treatment plan adaptation using mid-treatment imaging biomarkers,https://pubmed.ncbi.nlm.nih.gov/33053518/,Soheil,,,Lucas,,
characterizing the combinatorial beam angle selection problem,https://pubmed.ncbi.nlm.nih.gov/23023092/,Soheil,,,Cem,,
a column generation approach for  evaluating delivery efficiencies of  collimator technologies in imrt treatment  planning,https://pubmed.ncbi.nlm.nih.gov/25675154/,Soheil,,,Cem,,
clinical implementation in proton therapy of multi-field optimization by a hybrid method combining conventional ptv with robust optimization,https://pubmed.ncbi.nlm.nih.gov/31851957/,Soheil,,,Lucas,,
intensity modulated radiation therapy with field rotation--a time-varying fractionation study,https://pubmed.ncbi.nlm.nih.gov/22231648/,Soheil,,,Lucas,,
an exact approach to direct aperture optimization in imrt treatment planning,https://pubmed.ncbi.nlm.nih.gov/18065842/,Soheil,,,Cem,,
potential pitfalls of the ptv concept in dose-to-medium planning optimization,https://pubmed.ncbi.nlm.nih.gov/27546868/,Soheil,,,Lucas,,
dose-shaping using targeted sparse optimization,https://pubmed.ncbi.nlm.nih.gov/23822415/,Soheil,,,Lucas,,
technical note: first report on an in vivo range probing quality control procedure for scanned proton beam therapy in head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/33428795/,Soheil,,,Lucas,,
