Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
mathematical modeling of locoregional recurrence caused by premalignant lesions formed before initial treatment,https://pubmed.ncbi.nlm.nih.gov/34722296/,13,10,2021,Frontiers in oncology,11,,2234-943X,Mitsuaki,Takaki,"Department of Computational Biology and Medical Sciences, Graduate School of Frontier Sciences, The University of Tokyo, Chiba, Japan.",Hiroshi,Haeno,"Department of Computational Biology and Medical Sciences, Graduate School of Frontier Sciences, The University of Tokyo, Chiba, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technical note: collimator angle optimization for multiple brain metastases in dynamic conformal arc treatment planning,https://pubmed.ncbi.nlm.nih.gov/34224150/,20,07,2021,Medical physics,48,9,2473-4209,Cecilia,Battinelli,"RaySearch Laboratories, Stockholm, Sweden.",Albin,Fredriksson,"RaySearch Laboratories, Stockholm, Sweden.",Kjell,Eriksson,"RaySearch Laboratories, Stockholm, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust radiation therapy optimization using simulated treatment courses for handling deformable organ motion,https://pubmed.ncbi.nlm.nih.gov/33348330/,05,02,2021,Physics in medicine and biology,66,4,1361-6560,Albin,Fredriksson,"RaySearch Laboratories, Sweden.",Erik,Engwall,"RaySearch Laboratories, Sweden.",Björn,Andersson,"RaySearch Laboratories, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proton range uncertainty reduction benefits for skull base tumors in terms of normal tissue complication probability (ntcp) and healthy tissue doses,https://pubmed.ncbi.nlm.nih.gov/34260085/,29,07,2021,Medical physics,48,9,2473-4209,Sebastian,Tattenberg,"Department of Medical Physics, Faculty of Physics, Ludwig-Maximilians-Universität München, Garching, Germany.",Thomas M,Madden,"Division of Radiation Biophysics, Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.",Bram L,Gorissen,"Stanley Center for Psychiatric Research, Broad Institute of Harvard and MIT, Cambridge, MA, USA.",Thomas,Bortfeld,"Division of Radiation Biophysics, Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.",Katia,Parodi,"Department of Medical Physics, Faculty of Physics, Ludwig-Maximilians-Universität München, Garching, Germany.",Joost,Verburg,"Division of Radiation Biophysics, Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust optimization should be used to replace ptv in radiotherapy treatment planning,https://pubmed.ncbi.nlm.nih.gov/34554590/,27,10,2021,Medical physics,48,12,2473-4209,Marie-Claude,Biston,"Unité de Physique, Centre Léon Bérard, Lyon cedex, France.",Xiaoying,Liang,"Radiation Oncology Department, Mayo Clinic, Jacksonville, Florida, USA.",Zuofeng,Li,"Radiation Oncology Department, Guangzhou Concord Cancer Center, Guangzhou, Guangdong, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
probabilistic definition of the clinical target volume-implications for tumor control probability modeling and optimization,https://pubmed.ncbi.nlm.nih.gov/33197905/,13,01,2021,Physics in medicine and biology,66,1,1361-6560,Thomas,Bortfeld,"Massachusetts General Hospital and Harvard Medical School, Department of Radiation Oncology, Division of Radiation Biophysics, 100 Blossom St, Boston, MA 02114, United States of America.",Nadya,Shusharina,"Massachusetts General Hospital and Harvard Medical School, Department of Radiation Oncology, Division of Radiation Biophysics, 100 Blossom St, Boston, MA 02114, United States of America.",David,Craft,"Massachusetts General Hospital and Harvard Medical School, Department of Radiation Oncology, Division of Radiation Biophysics, 100 Blossom St, Boston, MA 02114, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a robust approach to establish tolerance limits for the gamma passing rate-based patient-specific quality assurance using the heuristic control charts,https://pubmed.ncbi.nlm.nih.gov/34778963/,29,11,2021,Medical physics,49,2,2473-4209,Qing,Xiao,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Long,Bai,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Guangjun,Li,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Xiangbin,Zhang,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Zhibin,Li,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Lian,Duan,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Ruilin,Peng,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Renming,Zhong,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Qiang,Wang,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Xuetao,Wang,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",Sen,Bai,"Department of Radiation Oncology, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, P. R. China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proton therapy for early breast cancer patients in the dbcg proton trial: planning, adaptation, and clinical experience from the first 43 patients",https://pubmed.ncbi.nlm.nih.gov/34632922/,10,10,2021,"Acta oncologica (Stockholm, Sweden)",61,2,1651-226X,Maria,Fuglsang Jensen,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Line Bjerregaard,Stick,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Morten,Høyer,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Camilla Jensenius Skovhus,Kronborg,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Ebbe Laugaard,Lorenzen,"Laboratory of Radiation Physics, Odense University Hospital, Odense, Denmark.",Hanna Rahbek,Mortensen,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Petra Witt,Nyström,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Stine Elleberg,Petersen,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Pia,Randers,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Linh My Hoang,Thai,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",Esben Svitzer,Yates,"Department of Oncology, Aarhus University Hospital, Aarhus, Denmark.",Birgitte Vrou,Offersen,"Danish Centre for Particle Therapy, Aarhus University Hospital, Aarhus, Denmark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosimetric comparison of intensity modulated radiotherapy and intensity modulated proton therapy in the treatment of recurrent nasopharyngeal carcinoma,https://pubmed.ncbi.nlm.nih.gov/34470708/,29,08,2021,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,47,1,1873-4022,Hing Ming,Hung,"Department of Clinical Oncology, Pamela Youde Nethersole Eastern Hospital, Hong Kong. Electronic address: ricohung@connect.hku.hk.",Oliver Cheuk Ming,Chan,"Department of Medical Physics, Pamela Youde Nethersole Eastern Hospital, Hong Kong.",Chi Hang,Mak,"Department of Clinical Oncology, Pamela Youde Nethersole Eastern Hospital, Hong Kong.",Wai Man,Hung,"Department of Clinical Oncology, Pamela Youde Nethersole Eastern Hospital, Hong Kong.",Wai Tong,Ng,"Department of Clinical Oncology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong; Comprehensive Oncology Center, Hong Kong Sanatorium & Hospital, Hong Kong.",Michael Chi Hang,Lee,"Department of Medical Physics, Pamela Youde Nethersole Eastern Hospital, Hong Kong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the effect of radiotherapy on diffuse low-grade gliomas evolution: confronting theory with clinical data,https://pubmed.ncbi.nlm.nih.gov/34442462/,21,08,2021,Journal of personalized medicine,11,8,2075-4426,Léo,Adenis,"CNRS/IN2P3, IJCLab, Université Paris-Saclay, 91405 Orsay, France.",Stéphane,Plaszczynski,"CNRS/IN2P3, IJCLab, Université Paris-Saclay, 91405 Orsay, France.",Basile,Grammaticos,"CNRS/IN2P3, IJCLab, Université Paris-Saclay, 91405 Orsay, France.",Johan,Pallud,"Department of Neurosurgery, GHU Paris, Sainte-Anne Hospital, 75014 Paris, France.",Mathilde,Badoual,"CNRS/IN2P3, IJCLab, Université Paris-Saclay, 91405 Orsay, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
determining clinical patient selection guidelines for head and neck adaptive radiation therapy using random forest modelling and a novel simplification heuristic,https://pubmed.ncbi.nlm.nih.gov/34164338/,07,06,2021,Frontiers in oncology,11,,2234-943X,Sarah,Weppler,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",Harvey,Quon,"Department of Radiation Oncology, Tom Baker Cancer Centre, Calgary, AB, Canada.",Colleen,Schinkel,"Department of Medical Physics, Tom Baker Cancer Centre, Calgary, AB, Canada.",James,Ddamba,"Department of Radiation Oncology, Tom Baker Cancer Centre, Calgary, AB, Canada.",Nabhya,Harjai,"Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",Clarisse,Vigal,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",Craig A,Beers,"Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",Lukas,Van Dyke,"Department of Medical Physics, Tom Baker Cancer Centre, Calgary, AB, Canada.",Wendy,Smith,"Department of Physics and Astronomy, University of Calgary, Calgary, AB, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technical note: first report on an in vivo range probing quality control procedure for scanned proton beam therapy in head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/33428795/,06,02,2021,Medical physics,48,3,2473-4209,Arturs,Meijers,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",Carmen,Seller Oria,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",Jeffrey,Free,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",Johannes A,Langendijk,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",Antje C,Knopf,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",Stefan,Both,"Department of Radiation Oncology, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
