Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation
cost effectiveness of risk-prediction tools in selecting patients for immediate post-prostatectomy treatment,https://pubmed.ncbi.nlm.nih.gov/19351214/,XX,XX,2009,Molecular diagnosis & therapy,13,1,1177-1062,Valentina Bayer,Zubek,"Aureon Laboratories, Inc., Yonkers, New York 10701, USA. valentina.bayer@aureon.com",Andre,Konski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spacers in radiotherapy treatment of prostate cancer: is reduction of toxicity cost-effective?,https://pubmed.ncbi.nlm.nih.gov/25616537/,20,01,2015,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,114,2,1879-0887,Ben G L,Vanneste,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands. Electronic address: ben.vanneste@maastro.nl.",Madelon,Pijls-Johannesma,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands; Health insurance company CZ, Tilburg, The Netherlands.",Lien,Van De Voorde,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.",Emile N,van Lin,"Westdeutsches Protonentherapiezentrum Essen (WPE), Germany.",Kees,van de Beek,"Department of Urology, Maastricht University Medical Center+, The Netherlands.",Judith,van Loon,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.",Bram L,Ramaekers,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands; Department of Clinical Epidemiology and Medical Technology Assessment, Maastricht University Medical Center+, The Netherlands.",Philippe,Lambin,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.",,,,,,,,,,,,,,,,,,,,,
a decision analysis comparing 3 active surveillance protocols for the treatment of patients with low-risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/30561761/,18,12,2018,Cancer,125,6,1097-0142,Craig,White,"PhD Program in Health Policy, Graduate School of Arts and Sciences, Harvard University, Boston, Massachusetts.",Tony,Nimeh,"Department of Urology, University of Illinois at Chicago, Chicago, Illinois.",G Scott,Gazelle,"Department of Radiology, Institute for Technology Assessment, Massachusetts General Hospital, Boston, Massachusetts.",Milton C,Weinstein,"Department of Health Policy and Management, Harvard T. H. Chan School of Public Health, Boston, Massachusetts.",Kevin R,Loughlin,"Department of Urology, Brigham and Women's Hospital, Boston, Massachusetts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparative cost-effectiveness of focal and total salvage <sup>125</sup>i brachytherapy for recurrent prostate cancer after primary radiotherapy,https://pubmed.ncbi.nlm.nih.gov/28115953/,27,12,2016,Journal of contemporary brachytherapy,8,6,1689-832X,Max,Peters,"Department of Radiation Oncology, University Medical Center Utrecht, The Netherlands; Both authors contributed equally to this research.",Marjanne A,Piena,"University of Twente, Enschede, The Netherlands; Both authors contributed equally to this research.",Lotte M G,Steuten,"Fred Hutchinson Cancer Research Center, Seattle, Washington, USA.",Jochem R N,van der Voort van Zyp,"Department of Radiation Oncology, University Medical Center Utrecht, The Netherlands.",Marinus A,Moerland,"Department of Radiation Oncology, University Medical Center Utrecht, The Netherlands.",Marco,van Vulpen,"Department of Radiation Oncology, University Medical Center Utrecht, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment for pathologic stage i lung cancer--are models reliable?,https://pubmed.ncbi.nlm.nih.gov/22244284/,01,02,2012,"International journal of radiation oncology, biology, physics",82,2,1879-355X,Varun,Puri,,Traves D,Crabtree,,Bryan F,Meyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of gemcitabine plus modern radiotherapy in locally advanced pancreatic cancer,https://pubmed.ncbi.nlm.nih.gov/27033672/,28,03,2016,Clinical therapeutics,38,5,1879-114X,Henry W C,Leung,"Department of Radiation Therapy, An Nan Hospital, China Medical University, Tainan, Taiwan; Department of Information Management, Chia Nan University of Pharmacy and Science, Tainan City, Taiwan.",Agnes L F,Chan,"Department of Pharmacy, An-Nan Hospital, China Medical University, Tainan, Taiwan; Department of Pharmacy, Chia Nan University of Pharmacy and Science, Tainan City, Taiwan. Electronic address: agnes.lf@gmail.com.",Chih-Hsin,Muo,"Management Office for Health Data, China Medical University Hospital, Taichung, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using decision analysis to determine the cost-effectiveness of intensity-modulated radiation therapy in the treatment of intermediate risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/16887291/,02,08,2006,"International journal of radiation oncology, biology, physics",66,2,0360-3016,Andre,Konski,"Department of Radiation Oncology, Fox Chase Cancer Center, Philadelphia, PA 19111, USA. andre.konski@fccc.edu",Deborah,Watkins-Bruner,,Steven,Feigenberg,,Alexandra,Hanlon,,Sachin,Kulkarni,,J Robert,Beck,,Eric M,Horwitz,,Alan,Pollack,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of prophylactic cranial irradiation with hippocampal avoidance in limited stage small cell lung cancer,https://pubmed.ncbi.nlm.nih.gov/28109544/,18,01,2017,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,122,3,1879-0887,Xuanlu M,Qu,"Queen's University, Kingston, ON, Canada.",Mark V,Mishra,"University of Maryland, Baltimore, MD, USA.",Glenn S,Bauman,"London Health Sciences Center, ON, Canada.",Ben,Slotman,"VU University Medical Center, Amsterdam, Netherlands.",Minesh,Mehta,"Miami Cancer Institute, FL, USA.",Vinai,Gondi,"Northwestern Medicine Cancer Chicago Center Warrenville and Northwestern Medicine Chicago Proton Center, Northwestern University, IL, USA.",Alexander V,Louie,"London Health Sciences Center, ON, Canada. Electronic address: Alexander.Louie@londonhospitals.ca.",,,,,,,,,,,,,,,,,,,,,,,,
evaluating pet-ct in routine surveillance and follow-up after treatment for cervical cancer: a cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/24299112/,03,12,2013,BJOG : an international journal of obstetrics and gynaecology,121,4,1471-0528,P,Auguste,"Health Economics Unit, University of Birmingham, Birmingham, UK.",P,Barton,,C,Meads,,C,Davenport,,S,Małysiak,,M,Kowalska,,A,Zapalska,,P,Guest,,P,Martin-Hirsch,,E,Borowiack,,K,Khan,,S,Sundar,,T,Roberts,,,,,,,
neoadjuvant therapy versus upfront surgical strategies in resectable pancreatic cancer: a markov decision analysis,https://pubmed.ncbi.nlm.nih.gov/27570116/,09,08,2016,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,42,10,1532-2157,S W L,de Geus,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: S.W.L.de_geus@lumc.nl.",D B,Evans,"Department of Surgery, Medical College of Wisconsin, 8701 Watertown Plank Road, Milwaukee, WI 53226, USA. Electronic address: devans@mcw.edu.",L A,Bliss,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: lindsay.bliss@gmail.com.",M F,Eskander,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: meskande@bidmc.harvard.edu.",J K,Smith,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: jkennedysmith@gmail.com.",R A,Wolff,"Department of Gastrointestinal Oncology, University of Texas M.D. Anderson Cancer Center, 1515 Holcombe Blvd, Houston, TX 77030, USA. Electronic address: rwolff@mdanderson.org.",R A,Miksad,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: rmiksad@bidmc.harvard.edu.",M C,Weinstein,"Department of Health Policy and Management, Harvard T.H. Chan School of Public Health, 677 Huntington Avenue, Boston, MA 02115, USA. Electronic address: mcw@hsph.harvard.edu.",J F,Tseng,"Surgical Outcomes Analysis & Research, Beth Israel Deaconess Medical Center, Harvard Medical School, Department of Surgery, 330 Brookline Avenue, Boston, MA 02215, USA. Electronic address: jftseng@bidmc.harvard.edu.",,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of sbrt versus imrt: an emerging initial radiation treatment option for organ-confined prostate cancer,https://pubmed.ncbi.nlm.nih.gov/22694113/,01,05,2012,The American journal of managed care,18,5,1936-2692,Joseph C,Hodges,"University of Texas Southwestern, Dallas, USA. joseph.hodges@utsouthwestern.edu",Yair,Lotan,,Thomas P,Boike,,Rhonda,Benton,,Alyson,Barrier,,Robert D,Timmerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electronic portal image assisted reduction of systematic set-up errors in head and neck irradiation,https://pubmed.ncbi.nlm.nih.gov/11731000/,XX,12,2001,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,61,3,0167-8140,H C,de Boer,"Department of Radiation Oncology, Division of Clinical Physics, Daniel den Hoed Cancer Center/University Hospital Rotterdam, Groene Hilledijk 301, P.O. Box 5201, 3008 Rotterdam, The Netherlands.",J R,van Sörnsen de Koste,,C L,Creutzberg,,A G,Visser,,P C,Levendag,,B J,Heijmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
costs and effectiveness of treatment alternatives for proximal caries lesions,https://pubmed.ncbi.nlm.nih.gov/24475208/,27,01,2014,PloS one,9,1,1932-6203,Falk,Schwendicke,"Department of Operative and Preventive Dentistry, Charité - Universitätsmedizin Berlin, Berlin, Germany.",Hendrik,Meyer-Lueckel,"Department of Operative Dentistry, Periodontology and Preventive Dentistry, RWTH Aachen University, Aachen, Germany.",Michael,Stolpe,"Kiel Institute for the World Economy, Kiel, Germany.",Christof Edmund,Dörfer,"Clinic for Conservative Dentistry and Periodontology, Christian-Albrechts-University, Kiel, Germany.",Sebastian,Paris,"Department of Operative and Preventive Dentistry, Charité - Universitätsmedizin Berlin, Berlin, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a trial-based cost-utility analysis of metastasis-directed therapy for oligorecurrent prostate cancer,https://pubmed.ncbi.nlm.nih.gov/31947974/,04,01,2020,Cancers,12,1,2072-6694,Elise,De Bleser,"Department of Urology, Ghent University Hospital, 9000 Ghent, Belgium.",Ruben,Willems,"Department of Public Health and Primary Care, Ghent University, 9000 Ghent, Belgium.",Karel,Decaestecker,"Department of Urology, Ghent University Hospital, 9000 Ghent, Belgium.",Lieven,Annemans,"Department of Public Health and Primary Care, Ghent University, 9000 Ghent, Belgium.",Aurélie,De Bruycker,"Department of Radiotherapy and Experimental Cancer Research, Ghent University Hospital, 9000 Ghent, Belgium.",Valérie,Fonteyne,"Department of Human Structure and Repair, Ghent University, 9000 Ghent, Belgium.",Nicolaas,Lumen,"Department of Urology, Ghent University Hospital, 9000 Ghent, Belgium.",Filip,Ameye,"Department of Urology, AZ Maria Middelares, 9000 Ghent, Belgium.",Ignace,Billiet,"Department of Urology, AZ Groeninge, 8500 Kortrijk, Belgium.",Steven,Joniau,"Department of Urology, UZ Leuven, 3000 Leuven, Belgium.",Gert,De Meerleer,"Department of Human Structure and Repair, Ghent University, 9000 Ghent, Belgium.",Piet,Ost,"Department of Human Structure and Repair, Ghent University, 9000 Ghent, Belgium.",Renée,Bultijnck,"Department of Human Structure and Repair, Ghent University, 9000 Ghent, Belgium.",,,,,,
strategic level proton therapy patient admission planning: a markov decision process modeling approach,https://pubmed.ncbi.nlm.nih.gov/26810359/,25,01,2016,Health care management science,20,2,1386-9620,Ridvan,Gedik,"Mechanical and Industrial Engineering Department Tagliatela College of Engineering, University of New Haven, West Haven, CT, USA.",Shengfan,Zhang,"Department of Industrial Engineering, University of Arkansas, Fayetteville, AR, USA. shengfan@uark.edu.",Chase,Rainwater,"Department of Industrial Engineering, University of Arkansas, Fayetteville, AR, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of radiation therapy following conservative surgery for ductal carcinoma in situ of the breast,https://pubmed.ncbi.nlm.nih.gov/15752884/,15,03,2005,"International journal of radiation oncology, biology, physics",61,4,0360-3016,W Warren,Suh,"Department of Radiation Oncology, University of Michigan Health System, Ann Arbor, MI, USA. wsuh@lroc.harvard.edu",Bruce E,Hillner,,Lori J,Pierce,,James A,Hayman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using resource modelling to inform decision making and service planning: the case of colorectal cancer screening in ireland,https://pubmed.ncbi.nlm.nih.gov/23510135/,19,03,2013,BMC health services research,13,,1472-6963,Linda,Sharp,"National Cancer Registry Ireland, Cork Airport Business Park, Kinsale Road, Cork, Ireland. linda.sharp@ncrie.ie",Lesley,Tilson,,Sophie,Whyte,,Alan O,Ceilleachair,,Cathal,Walsh,,Cara,Usher,,Paul,Tappenden,,James,Chilcott,,Anthony,Staines,,Michael,Barry,,Harry,Comber,,,,,,,,,,,,,
model-based cost-effectiveness analysis of external beam radiation therapy for the treatment of localized prostate cancer: a systematic review,https://pubmed.ncbi.nlm.nih.gov/31139024/,21,05,2019,Cost effectiveness and resource allocation : C/E,17,,1478-7547,Solomon Kibret,Abreha,"University of Insubria, Varese, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of palliation of unresectable esophageal cancer,https://pubmed.ncbi.nlm.nih.gov/18523886/,04,06,2008,Digestive diseases and sciences,53,12,0163-2116,Eduardo B,da Silveira,"Division of Gastroenterology, Portland VA Medical Center, Oregon Health and Science University, 3710 SW US Veterans Hospital Road, P3GI, Portland, OR, 97239, USA. eduardo.dasilveira@va.gov",Everson L,Artifon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establishing cost-effective allocation of proton therapy for breast irradiation,https://pubmed.ncbi.nlm.nih.gov/27084617/,19,03,2016,"International journal of radiation oncology, biology, physics",95,1,1879-355X,Raymond B,Mailhot Vega,"Department of Radiation Oncology, NYU School of Medicine, New York, New York.",Omar,Ishaq,"Department of Radiation Oncology, NYU School of Medicine, New York, New York.",Ann,Raldow,"Radiation Oncology Program, Harvard University, Boston, Massachusetts.",Carmen A,Perez,"Department of Radiation Oncology, NYU School of Medicine, New York, New York.",Rachel,Jimenez,"Department of Radiation Oncology, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts.",Marielle,Scherrer-Crosbie,"Cardiovascular Research Center, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts.",Marc,Bussiere,"Department of Radiation Oncology, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts.",Alphonse,Taghian,"Department of Radiation Oncology, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts.",David J,Sher,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, San Antonio, Texas.",Shannon M,MacDonald,"Department of Radiation Oncology, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts. Electronic address: smacdonald@partners.org.",,,,,,,,,,,,,,,
simultaneous beam geometry and intensity map optimization in intensity-modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/16289912/,14,11,2005,"International journal of radiation oncology, biology, physics",64,1,0360-3016,Eva K,Lee,"Center for Operations Research in Medicine, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA 30332-0205, USA. evakylee@isye.gatech.edu",Tim,Fox,,Ian,Crocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18fdg-pet-ct in the follow-up of non-small cell lung cancer patients after radical radiotherapy with or without chemotherapy: an economic evaluation,https://pubmed.ncbi.nlm.nih.gov/19944595/,XX,01,2010,"European journal of cancer (Oxford, England : 1990)",46,1,1879-0852,Judith,van Loon,"Department of Radiation Oncology (Maastro Clinic), GROW Research Institute, Maastricht University Medical Centre(+), Maastricht, The Netherlands. Judith.vanloon@maastro.nl",Janneke P C,Grutters,,Rinus,Wanders,,Liesbeth,Boersma,,Anne-Marie C,Dingemans,,Gerben,Bootsma,,Wiel,Geraedts,,Cordula,Pitz,,Jean,Simons,,Boudewijn,Brans,,Gabriel,Snoep,,Monique,Hochstenbag,,Philippe,Lambin,,Dirk,De Ruysscher,,,,
management of localized and advanced prostate cancer in canada: a lifetime cost and quality-adjusted life-year analysis,https://pubmed.ncbi.nlm.nih.gov/26828716/,01,02,2016,Cancer,122,7,1097-0142,Chiranjeev,Sanyal,"Department of Urology, McGill University, Montreal, Quebec, Canada.",Armen G,Aprikian,"Department of Urology, McGill University, Montreal, Quebec, Canada.",Fabio L,Cury,"Department of Urology, McGill University, Montreal, Quebec, Canada.",Simone,Chevalier,"Department of Urology, McGill University, Montreal, Quebec, Canada.",Alice,Dragomir,"Department of Urology, McGill University, Montreal, Quebec, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
