Title,URL,Reviewer1,Decision1,Comments1,Reviewer2,Decision2,Comments2
soft tissues sarcomas: good medical practices for an optimal management,https://pubmed.ncbi.nlm.nih.gov/16324866/,Aysenur,,,Lucas,,
development of a system which automatically acquires optimal discrete-valued attributes by dividing and grouping continuous-valued attributes to assist clinical decision making in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/14617847/,Aysenur,,,Cem,,
taxonometric applications in radiotherapy incident analysis,https://pubmed.ncbi.nlm.nih.gov/18406929/,Aysenur,,,Cem,,
assessment of a quantitative metric for 4d ct artifact evaluation by observer consensus,https://pubmed.ncbi.nlm.nih.gov/24892346/,Aysenur,,,Cem,,
"offering a treatment choice in the irradiation of prostate cancer leads to better informed and more active patients, without harm to well-being",https://pubmed.ncbi.nlm.nih.gov/17765404/,Aysenur,,,Lucas,,
a statistical modeling approach for evaluating auto-segmentation methods for image-guided radiotherapy,https://pubmed.ncbi.nlm.nih.gov/22673541/,Aysenur,,,Cem,,
the cost-effectiveness of 18fdg-pet in selecting patients with suspicion of recurrent laryngeal carcinoma after radiotherapy for direct laryngoscopy,https://pubmed.ncbi.nlm.nih.gov/19043728/,Aysenur,,,Lucas,,
o-(2-18f-fluoroethyl)-l-tyrosine pet for evaluation of brain metastasis recurrence after radiotherapy: an effectiveness and cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/28204572/,Aysenur,,,Lucas,,
"relationship between consulting for second medical opinions, radiotherapy, and satisfaction with therapy, analyzed by structural equation modeling: a web-based survey",https://pubmed.ncbi.nlm.nih.gov/34582658/,Cem,,,Mohammad,,
primary treatment choices for men with clinically localized prostate carcinoma detected by screening,https://pubmed.ncbi.nlm.nih.gov/10699903/,Cem,,,Aysenur,,
semiparametric efficient estimation in the generalized odds-rate class of regression models for right-censored time-to-event data,https://pubmed.ncbi.nlm.nih.gov/9880995/,Cem,,,Soheil,,
contribution of percutaneous acrylic vertebroplasty for tumor-related spinal cord compression,https://pubmed.ncbi.nlm.nih.gov/15547487/,Cem,,,Soheil,,
clinical trials in oncology: some data collection features,https://pubmed.ncbi.nlm.nih.gov/3256011/,Cem,,,Mohammad,,
applied swarm-based medicine: collecting decision trees for patterns of algorithms analysis,https://pubmed.ncbi.nlm.nih.gov/28814269/,Cem,,,Mohammad,,
imaging of the post-irradiation larynx for laryngeal and hypopharyngeal carcinomas,https://pubmed.ncbi.nlm.nih.gov/18772778/,Cem,,,Aysenur,,
utility of intraoperative squash cytology in diagnosis of paediatric central nervous system lesions,https://pubmed.ncbi.nlm.nih.gov/30569601/,Cem,,,Soheil,,
"sequencing surgery, radiotherapy and chemotherapy: insights from a mathematical analysis",https://pubmed.ncbi.nlm.nih.gov/12206517/,Cem,,,Soheil,,
vademecum of skeletal complications of malignancy,https://pubmed.ncbi.nlm.nih.gov/23757921/,Cem,,,Soheil,,
current concepts in genitourinary oncology: a multidisciplinary approach,https://pubmed.ncbi.nlm.nih.gov/5107052/,Cem,,,Soheil,,
nutritional support of children with neoplastic diseases,https://pubmed.ncbi.nlm.nih.gov/3097847/,Cem,,,Aysenur,,
the diagnosis and treatment of soft tissue sarcomas of the limbs,https://pubmed.ncbi.nlm.nih.gov/21286000/,Cem,,,Aysenur,,
pheochromocytoma: diagnosis and management update,https://pubmed.ncbi.nlm.nih.gov/15527694/,Cem,,,Mohammad,,
on the elicitation of preferences for alternative therapies,https://pubmed.ncbi.nlm.nih.gov/7070445/,Cem,,,Mohammad,,
secondary neutron doses in a compact proton therapy system,https://pubmed.ncbi.nlm.nih.gov/24591728/,Cem,,,Aysenur,,
the role of hybrid pet/ct in the evaluation of patients with cervical cancer,https://pubmed.ncbi.nlm.nih.gov/16269172/,Cem,,,Soheil,,
management of malignant brain tumors,https://pubmed.ncbi.nlm.nih.gov/9363837/,Cem,,,Soheil,,
"lymphocytopenia: aetiology and diagnosis, when to think about idiopathic cd4(+) lymphocytopenia?",https://pubmed.ncbi.nlm.nih.gov/22658164/,Cem,,,Mohammad,,
physician resource utilization in radiation oncology: a model based on management of carcinoma of the prostate,https://pubmed.ncbi.nlm.nih.gov/9486609/,Cem,,,Aysenur,,
the algorithms of adjuvant therapy in gliomas and their effect on survival,https://pubmed.ncbi.nlm.nih.gov/30421895/,Cem,,,Soheil,,
neoadjuvant therapy of locally advanced gastric cancer,https://pubmed.ncbi.nlm.nih.gov/20187070/,Cem,,,Mohammad,,
simultaneous beam geometry and intensity map optimization in intensity-modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/16289912/,Cem,,,Soheil,,
subgroup economic evaluation of radiotherapy for breast cancer after mastectomy,https://pubmed.ncbi.nlm.nih.gov/26475419/,Cem,,,Soheil,,
can cochrane reviews in controversial areas be biased? a sensitivity analysis based on the protocol of a systematic cochrane review on low-level laser therapy in osteoarthritis,https://pubmed.ncbi.nlm.nih.gov/16262573/,Cem,,,Mohammad,,
the health and economic impact of cervical cancer screening and human papillomavirus vaccination in kidney transplant recipients,https://pubmed.ncbi.nlm.nih.gov/19352131/,Cem,,,Mohammad,,
evaluation of treatment candidacy in older adults with cancer,https://pubmed.ncbi.nlm.nih.gov/28602415/,Cem,,,Mohammad,,
probabilities of benefit and harms of preoperative radiotherapy for rectal cancer: what do radiation oncologists tell and what do patients understand?,https://pubmed.ncbi.nlm.nih.gov/26025810/,Cem,,,Aysenur,,
breast irradiation postlumpectomy: development and evaluation of a decision instrument,https://pubmed.ncbi.nlm.nih.gov/7707110/,Cem,,,Aysenur,,
objective consensus from decision trees,https://pubmed.ncbi.nlm.nih.gov/25476988/,Cem,,,Aysenur,,
patient selection for magnetic resonance imaging of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/11684846/,Cem,,,Aysenur,,
an investigation into the mammographic appearances of missed breast cancers when recall rates are reduced,https://pubmed.ncbi.nlm.nih.gov/28621548/,Cem,,,Soheil,,
concerning roberts and hendry ijrobp 1998;41:689-699,https://pubmed.ncbi.nlm.nih.gov/10348309/,Cem,,,Mohammad,,
"point/counterpoint. because of the advantages of rotational techniques, conventional imrt will soon become obsolete",https://pubmed.ncbi.nlm.nih.gov/25281937/,Cem,,,Aysenur,,
management of microcalcifications that develop at the lumpectomy site after breast-conserving therapy,https://pubmed.ncbi.nlm.nih.gov/9169686/,Cem,,,Mohammad,,
decision-making strategy for rectal cancer management using radiation therapy for elderly or comorbid patients,https://pubmed.ncbi.nlm.nih.gov/29485072/,Cem,,,Aysenur,,
rtog sarcoma radiation oncologists reach consensus on gross tumor volume and clinical target volume on computed tomographic images for preoperative radiotherapy of primary soft tissue sarcoma of extremity in radiation therapy oncology group studies,https://pubmed.ncbi.nlm.nih.gov/21676552/,Lucas,,,Aysenur,,
expert consensus contouring guidelines for intensity modulated radiation therapy in esophageal and gastroesophageal junction cancer,https://pubmed.ncbi.nlm.nih.gov/26104943/,Lucas,,,Soheil,,
"the indication area of a diagnostic test. part ii--the impact of test dependence, physician's decision strategy, and patient's utility",https://pubmed.ncbi.nlm.nih.gov/26142115/,Lucas,,,Mohammad,,
the cost-effectiveness of temozolomide in the adjuvant treatment of newly diagnosed glioblastoma in the united states,https://pubmed.ncbi.nlm.nih.gov/23935155/,Lucas,,,Soheil,,
breast reconstruction combined with radiation therapy: long-term risks and factors related to decision making,https://pubmed.ncbi.nlm.nih.gov/18677136/,Lucas,,,Soheil,,
cost-minimization analysis of gstp1c.313a>g genotyping for the prevention of cisplatin-induced nausea and vomiting: a bayesian inference approach,https://pubmed.ncbi.nlm.nih.gov/30870506/,Lucas,,,Aysenur,,
what are the information priorities for cancer patients involved in treatment decisions? an experienced surrogate study in hodgkin's disease,https://pubmed.ncbi.nlm.nih.gov/8546910/,Lucas,,,Mohammad,,
parametric response mapping of coregistered positron emission tomography and dynamic contrast enhanced computed tomography to identify radioresistant subvolumes in locally advanced cervical cancer,https://pubmed.ncbi.nlm.nih.gov/32251757/,Lucas,,,Mohammad,,
screening high-risk populations for thyroid cancer,https://pubmed.ncbi.nlm.nih.gov/11340616/,Lucas,,,Aysenur,,
the applications of genetic algorithms in medicine,https://pubmed.ncbi.nlm.nih.gov/26676060/,Lucas,,,Aysenur,,
preclinical and post-treatment changes in the hcc-associated serum proteome,https://pubmed.ncbi.nlm.nih.gov/17060939/,Lucas,,,Mohammad,,
decision theory and significance of prophylactic postoperative irradiation for primary lung cancer. part i. decision making under uncertainty (author's transl),https://pubmed.ncbi.nlm.nih.gov/503804/,Lucas,,,Soheil,,
data-driven markov models and their application in the evaluation of adverse events in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/23824126/,Lucas,,,Aysenur,,
fdg-pet-based differential uptake volume histograms: a possible approach towards definition of biological target volumes,https://pubmed.ncbi.nlm.nih.gov/27007269/,Lucas,,,Aysenur,,
lung ultrasonography for early management of patients with respiratory symptoms during covid-19 pandemic,https://pubmed.ncbi.nlm.nih.gov/32638333/,Lucas,,,Mohammad,,
management of localized and advanced prostate cancer in canada: a lifetime cost and quality-adjusted life-year analysis,https://pubmed.ncbi.nlm.nih.gov/26828716/,Lucas,,,Soheil,,
current management of hepatocellular carcinoma,https://pubmed.ncbi.nlm.nih.gov/26337474/,Lucas,,,Aysenur,,
bladder cancer after pelvic irradiation for cervical cancer,https://pubmed.ncbi.nlm.nih.gov/3929394/,Lucas,,,Mohammad,,
current disease management of primary urethral carcinoma,https://pubmed.ncbi.nlm.nih.gov/31307949/,Lucas,,,Mohammad,,
surveillance imaging for patients with head and neck cancer treated with definitive radiotherapy: a partially observed markov decision process model,https://pubmed.ncbi.nlm.nih.gov/31725906/,Lucas,,,Soheil,,
using the skindex-16 and common terminology criteria for adverse events to assess rash symptoms: results of a pooled-analysis (n0993),https://pubmed.ncbi.nlm.nih.gov/21922203/,Lucas,,,Soheil,,
cost effectiveness of concurrent chemoradiation in comparison with radiation alone in locally advanced cervical cancer,https://pubmed.ncbi.nlm.nih.gov/16404829/,Lucas,,,Soheil,,
spanish consensus for the management of sinonasal tumors,https://pubmed.ncbi.nlm.nih.gov/27814782/,Lucas,,,Mohammad,,
do patients and providers agree about the most important facts and goals for breast reconstruction decisions?,https://pubmed.ncbi.nlm.nih.gov/20395809/,Lucas,,,Aysenur,,
current management of small bowel obstruction,https://pubmed.ncbi.nlm.nih.gov/21954676/,Lucas,,,Aysenur,,
kidney involvement in hematologic malignancies. diagnostic approach,https://pubmed.ncbi.nlm.nih.gov/20483511/,Lucas,,,Aysenur,,
acute dysphagia of oncological origin. therapeutic management,https://pubmed.ncbi.nlm.nih.gov/15723110/,Lucas,,,Soheil,,
cost-effectiveness analysis of interventions to reduce risk of aspiration in elderly cancer survivors residing in skilled nursing facilities,https://pubmed.ncbi.nlm.nih.gov/28441373/,Lucas,,,Mohammad,,
non-response models for the analysis of non-monotone ignorable missing data,https://pubmed.ncbi.nlm.nih.gov/9004382/,Lucas,,,Mohammad,,
indeterminate lung nodules in cancer patients: pretest probability of malignancy and the role of 18f-fdg pet/ct,https://pubmed.ncbi.nlm.nih.gov/24555586/,Lucas,,,Aysenur,,
fast segmentation through surface fairing (fastsurf): a novel semi-automatic hippocampus segmentation method,https://pubmed.ncbi.nlm.nih.gov/30657776/,Lucas,,,Soheil,,
fallacy of the five-year survival in lung cancer,https://pubmed.ncbi.nlm.nih.gov/714117/,Lucas,,,Mohammad,,
oncologists' view of informed consent and shared decision making in paediatric radiation oncology,https://pubmed.ncbi.nlm.nih.gov/21889223/,Lucas,,,Soheil,,
testicular germ-cell tumour: diagnosis and treatment,https://pubmed.ncbi.nlm.nih.gov/16370168/,Lucas,,,Aysenur,,
electronic portal image assisted reduction of systematic set-up errors in head and neck irradiation,https://pubmed.ncbi.nlm.nih.gov/11731000/,Lucas,,,Mohammad,,
cost-effectiveness of dual-head 18f-fluorodeoxyglucose pet for the detection of recurrent laryngeal cancer,https://pubmed.ncbi.nlm.nih.gov/12136522/,Lucas,,,Soheil,,
seizures in people with cancer,https://pubmed.ncbi.nlm.nih.gov/17441395/,Mohammad,,,Lucas,,
to stimulate or withdraw? a cost-utility analysis of recombinant human thyrotropin versus thyroxine withdrawal for radioiodine ablation in patients with low-risk differentiated thyroid cancer in the united states,https://pubmed.ncbi.nlm.nih.gov/20139234/,Mohammad,,,Cem,,
cost-effectiveness analysis of 18f-fdg pet/ct in detecting suspected recurrence or metastasis in well-differentiated thyroid carcinoma patients with negative diagnostic total body scan in thailand: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/24350419/,Mohammad,,,Cem,,
computerized scar detection on renal cortical scintigraphy images,https://pubmed.ncbi.nlm.nih.gov/21956492/,Mohammad,,,Cem,,
uncertainty in prostate cancer care: the physician's role in clearing the confusion,https://pubmed.ncbi.nlm.nih.gov/10866876/,Mohammad,,,Lucas,,
cost effectiveness of chemoradiotherapy with cisplatin/fluorouracil and nedaplatin/fluorouracil for patients with esophageal cancer,https://pubmed.ncbi.nlm.nih.gov/18030014/,Mohammad,,,Lucas,,
patient participation in clinical decision-making for treatment of t3 laryngeal cancer: a comparison of state and process utilities,https://pubmed.ncbi.nlm.nih.gov/7666096/,Mohammad,,,Cem,,
early prostate cancer: clinical decision-making,https://pubmed.ncbi.nlm.nih.gov/12660074/,Mohammad,,,Lucas,,
bladder cancer,https://pubmed.ncbi.nlm.nih.gov/19176203/,Mohammad,,,Lucas,,
estimating ct image from mri data using structured random forest and auto-context model,https://pubmed.ncbi.nlm.nih.gov/26241970/,Mohammad,,,Lucas,,
a visual query-by-example image database for chest ct images: potential role as a decision and educational support tool for radiologists,https://pubmed.ncbi.nlm.nih.gov/15937719/,Mohammad,,,Cem,,
treatment field shape verification using elliptic fourier transform,https://pubmed.ncbi.nlm.nih.gov/10587226/,Mohammad,,,Cem,,
mr imaging of endometrial carcinoma: role and limits,https://pubmed.ncbi.nlm.nih.gov/12495884/,Mohammad,,,Cem,,
estimating dynamic lung images from high-dimension chest surface motion using 4d statistical model,https://pubmed.ncbi.nlm.nih.gov/25485372/,Mohammad,,,Lucas,,
intra-hepatic cholangiocarcinoma,https://pubmed.ncbi.nlm.nih.gov/15494665/,Mohammad,,,Lucas,,
thyroid associated orbitopathy,https://pubmed.ncbi.nlm.nih.gov/22713200/,Mohammad,,,Cem,,
spanish consensus for the management of patients with anaplastic cell thyroid carcinoma,https://pubmed.ncbi.nlm.nih.gov/27048161/,Mohammad,,,Lucas,,
decision theory and significance of prophylactic postoperative irradiation of breast carcinoma (author's transl),https://pubmed.ncbi.nlm.nih.gov/916262/,Mohammad,,,Cem,,
"clinical practice guidelines: standards, options and recommendations for first line medical treatment of patients with ovarian neoplasms (summary report)",https://pubmed.ncbi.nlm.nih.gov/15381451/,Mohammad,,,Cem,,
cost-effectiveness of the decipher genomic classifier to guide individualized decisions for early radiation therapy after prostatectomy for prostate cancer,https://pubmed.ncbi.nlm.nih.gov/28089723/,Mohammad,,,Lucas,,
"predictive ultrasound factors of lymphatic invasion in rectal cancer: ""extra-corporeal"" study",https://pubmed.ncbi.nlm.nih.gov/21736396/,Mohammad,,,Cem,,
french consensus on the management of acromegaly,https://pubmed.ncbi.nlm.nih.gov/19345931/,Mohammad,,,Lucas,,
squamous cell carcinoma antigen in follow-up of cervical cancer treated with radiotherapy: evaluation of cost-effectiveness,https://pubmed.ncbi.nlm.nih.gov/17689030/,Mohammad,,,Lucas,,
anticipating the consequences for the primary therapy of breast cancer after introducing screening. a more global picture for health care policy making,https://pubmed.ncbi.nlm.nih.gov/9611902/,Mohammad,,,Lucas,,
follow-up after radiotherapy of anal canal carcinoma,https://pubmed.ncbi.nlm.nih.gov/26323891/,Mohammad,,,Lucas,,
considerations of cost and effectiveness in the choice of mastectomy,https://pubmed.ncbi.nlm.nih.gov/6416244/,Mohammad,,,Cem,,
a markov decision process approach to optimizing cancer therapy using multiple modalities,https://pubmed.ncbi.nlm.nih.gov/30863847/,Mohammad,,,Lucas,,
online monitoring and error detection of real-time tumor displacement prediction accuracy using control limits on respiratory surrogate statistics,https://pubmed.ncbi.nlm.nih.gov/22482625/,Mohammad,,,Cem,,
pain and bone metastases,https://pubmed.ncbi.nlm.nih.gov/19070823/,Mohammad,,,Lucas,,
using resource modelling to inform decision making and service planning: the case of colorectal cancer screening in ireland,https://pubmed.ncbi.nlm.nih.gov/23510135/,Mohammad,,,Cem,,
investigating the psychological impact of active surveillance or active treatment in newly diagnosed favorable-risk prostate cancer patients: a 9-month longitudinal study,https://pubmed.ncbi.nlm.nih.gov/31243872/,Mohammad,,,Cem,,
do we need thyroid follow-up registers? a cost-effective study,https://pubmed.ncbi.nlm.nih.gov/6122983/,Mohammad,,,Lucas,,
oncology decision tree,https://pubmed.ncbi.nlm.nih.gov/11858405/,Mohammad,,,Cem,,
thyroid dysfunction in pregnancy: definition of tsh cut-off should precede the decision of screening in low-risk pregnant women,https://pubmed.ncbi.nlm.nih.gov/20504103/,Mohammad,,,Cem,,
imaging findings for mucinous tumors of the abdomen and pelvis,https://pubmed.ncbi.nlm.nih.gov/31078302/,Mohammad,,,Cem,,
counseling the patient with regional metastasis of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/8428324/,Mohammad,,,Lucas,,
economic assessment on the management of chronic lymphocytic leukaemia,https://pubmed.ncbi.nlm.nih.gov/15957971/,Soheil,,,Cem,,
3d visualization of brain tumors using mr images: a survey,https://pubmed.ncbi.nlm.nih.gov/31989903/,Soheil,,,Lucas,,
costs and effectiveness of treatment alternatives for proximal caries lesions,https://pubmed.ncbi.nlm.nih.gov/24475208/,Soheil,,,Cem,,
screening psychological distress in breast cancer patients on treatment,https://pubmed.ncbi.nlm.nih.gov/26387823/,Soheil,,,Cem,,
the prostate cancer risk stratification (procars) project: recursive partitioning risk stratification analysis,https://pubmed.ncbi.nlm.nih.gov/24231239/,Soheil,,,Cem,,
the treatment algorithm of acromegaly,https://pubmed.ncbi.nlm.nih.gov/15233211/,Soheil,,,Lucas,,
clinical characteristics of children with atypical and idiopathic slipped capital femoral epiphysis: description of the age-weight test and implications for further diagnostic investigation,https://pubmed.ncbi.nlm.nih.gov/11433161/,Soheil,,,Lucas,,
"frameless, image-guided stereotactic radiosurgery",https://pubmed.ncbi.nlm.nih.gov/17095398/,Soheil,,,Cem,,
therapeutic options for a rising psa after radical prostatectomy,https://pubmed.ncbi.nlm.nih.gov/23783041/,Soheil,,,Lucas,,
improving the well-being of men by evaluating and addressing the gastrointestinal late effects (eagle) of radical treatment for prostate cancer: study protocol for a mixed-method implementation project,https://pubmed.ncbi.nlm.nih.gov/27697869/,Soheil,,,Cem,,
decision analysis to evaluate lymphangiography in the management of patients with hodgkin's disease,https://pubmed.ncbi.nlm.nih.gov/850519/,Soheil,,,Lucas,,
"depressive disorders in an out-patient oncology setting: prevalence, assessment, and management",https://pubmed.ncbi.nlm.nih.gov/9589509/,Soheil,,,Cem,,
the utility and limitations of decision theory in the utilization of surgical staging and extended field radiotherapy in cervical cancer,https://pubmed.ncbi.nlm.nih.gov/6387554/,Soheil,,,Lucas,,
cancer in older patients: which assessment before treatment decisions,https://pubmed.ncbi.nlm.nih.gov/21634148/,Soheil,,,Cem,,
selective application of tumor markers psa,https://pubmed.ncbi.nlm.nih.gov/18791963/,Soheil,,,Lucas,,
malignant mesothelioma,https://pubmed.ncbi.nlm.nih.gov/19642427/,Soheil,,,Lucas,,
treatment preferences for active surveillance versus active treatment among men with low-risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/27257092/,Soheil,,,Lucas,,
surgical treatment of hypopharyngeal cancer: a review of the literature and proposal for a decisional flow-chart,https://pubmed.ncbi.nlm.nih.gov/24227894/,Soheil,,,Lucas,,
evidence-based consensus recommendations to improve the quality of life in prostate cancer treatment,https://pubmed.ncbi.nlm.nih.gov/20466619/,Soheil,,,Lucas,,
deale-ing with life expectancy and mortality rates,https://pubmed.ncbi.nlm.nih.gov/2775358/,Soheil,,,Cem,,
cost-effectiveness of primary radiation therapy versus radical prostatectomy for intermediate- to high-risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/29353655/,Soheil,,,Cem,,
comparing five alternative methods of breast reconstruction surgery: a cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/24165623/,Soheil,,,Lucas,,
decision theory in treatment planning of upper and middle thoracic esophageal cancer (author's transl),https://pubmed.ncbi.nlm.nih.gov/600679/,Soheil,,,Cem,,
chemotherapeutic options for primary brain tumors,https://pubmed.ncbi.nlm.nih.gov/17032559/,Soheil,,,Cem,,
validation of lesion simulations in clinical ct data for anonymized chest and abdominal ct databases,https://pubmed.ncbi.nlm.nih.gov/30703259/,Soheil,,,Lucas,,
satisfaction with care among low-income women with breast cancer,https://pubmed.ncbi.nlm.nih.gov/20088662/,Soheil,,,Lucas,,
a review of and algorithmic approach to soft palate reconstruction,https://pubmed.ncbi.nlm.nih.gov/30920582/,Soheil,,,Lucas,,
genes involved in radiation therapy response in head and neck cancers,https://pubmed.ncbi.nlm.nih.gov/19117295/,Soheil,,,Lucas,,
treatment of cervical paragangliomas,https://pubmed.ncbi.nlm.nih.gov/23021979/,Soheil,,,Lucas,,
stereotactic radiation techniques in the treatment of acoustic schwannomas,https://pubmed.ncbi.nlm.nih.gov/17544696/,Soheil,,,Cem,,
genetic evolutionary taboo search for optimal marker placement in infrared patient setup,https://pubmed.ncbi.nlm.nih.gov/17881802/,Soheil,,,Cem,,
"malignant tumours of the eye: epidemiology, diagnostic methods and radiotherapy",https://pubmed.ncbi.nlm.nih.gov/26508321/,Soheil,,,Cem,,
molecular imaging in the framework of personalized cancer medicine,https://pubmed.ncbi.nlm.nih.gov/24511645/,Soheil,,,Cem,,
work disability and its determinants in patients with pituitary tumor-related disease,https://pubmed.ncbi.nlm.nih.gov/30288666/,Soheil,,,Lucas,,
tree-type algorithm for statistical analysis in chronic toxicity studies,https://pubmed.ncbi.nlm.nih.gov/9779409/,Soheil,,,Cem,,
location of radiotherapy centers: an exploratory geographic analysis for belgium,https://pubmed.ncbi.nlm.nih.gov/23089067/,Soheil,,,Cem,,
