Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Collective Author 1,Collective Author 2,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation
accuracy of gadofosveset-enhanced mri for nodal staging and restaging in rectal cancer,https://pubmed.ncbi.nlm.nih.gov/21239980/,XX,03,2011,Annals of surgery,253,3,1528-1140,Doenja M J,Lambregts,"Department of Radiology, Maastricht University Medical Center, The Netherlands.",Geerard L,Beets,Monique,Maas,Alfons G H,Kessels,Frans C H,Bakers,Vincent C,Cappendijk,Sanne M E,Engelen,Max J,Lahaye,,,,Adriaan P,de Bruïne,Guido,Lammering,Tim,Leiner,Jan L,Verwoerd,Joachim E,Wildberger,Regina G H,Beets-Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managing geometric uncertainty in conformal intensity-modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/10196395/,XX,01,1999,Seminars in radiation oncology,9,1,1053-4296,D A,Jaffray,"Department of Radiation Oncology, William Beaumont Hospital, Royal Oak, MI 48073, USA.",D,Yan,J W,Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when and how to treat an imrt patient on a second accelerator without replanning?,https://pubmed.ncbi.nlm.nih.gov/29287919/,26,12,2017,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,43,4,1873-4022,Teh,Lin,"Department of Radiation Oncology, Fox Chase Cancer Center, 333 Cottman Avenue, Philadelphia, PA 19111, USA. Electronic address: Teh.Lin@fccc.edu.",Murshed,Hossain,Jiajin,Fan,C-M Charlie,Ma,,,,,,,,,"Department of Radiation Oncology, Fox Chase Cancer Center, 333 Cottman Avenue, Philadelphia, PA 19111, USA.","Department of Radiation Oncology, Fox Chase Cancer Center, 333 Cottman Avenue, Philadelphia, PA 19111, USA.","Department of Radiation Oncology, Fox Chase Cancer Center, 333 Cottman Avenue, Philadelphia, PA 19111, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development and validation of a novel prognostic score for elderly head-and-neck cancer patients undergoing radiotherapy or chemoradiation,https://pubmed.ncbi.nlm.nih.gov/33245947/,24,11,2020,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,154,,1879-0887,Alexander,Rühle,"Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.",Carmen,Stromberger,Erik,Haehl,Carolin,Senger,Hélène,David,Raluca,Stoian,Constantinos,Zamboglou,Andreas,Knopf,"Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany.",Volker,Budach,Anca-Ligia,Grosu,Nils H,Nicolay,,,,,,,,,"Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Otorhinolaryngology, University of Freiburg - Medical Center, Germany.","Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany; German Cancer Consortium (DKTK) Partner Site Berlin, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany. Electronic address: nils.nicolay@uniklinik-freiburg.de.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluating the application of pareto navigation guided automated radiotherapy treatment planning to prostate cancer,https://pubmed.ncbi.nlm.nih.gov/31526670/,13,09,2019,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,141,,1879-0887,Philip A,Wheeler,"Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom. Electronic address: philip.wheeler@wales.nhs.uk.",Michael,Chu,Rosemary,Holmes,Owain W,Woodley,Ceri S,Jones,Rhydian,Maggs,John,Staffurth,Nachi,Palaniappan,"Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.","Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.","Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.",Emiliano,Spezi,David G,Lewis,Sue,Campbell,Jim,Fitzgibbon,Anthony E,Millin,,,,,"Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.","Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.","School of Medicine, Cardiff University, Cardiff, United Kingdom.","Department of Oncology, Velindre Cancer Centre, Cardiff, United Kingdom.","School of Engineering, Cardiff University, Cardiff, United Kingdom.","Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.","Velindre Cancer Centre, Cardiff, United Kingdom.","Wales Cancer Research Centre, Cardiff, United Kingdom.","Department of Medical Physics, Velindre Cancer Centre, Cardiff, United Kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact two-sample inference with missing data,https://pubmed.ncbi.nlm.nih.gov/16011700/,XX,06,2005,Biometrics,61,2,0006-341X,Ying Kuen,Cheung,"Department of Biostatistics, Mailman School of Public Health, Columbia University, New York, New York 10032, USA. cheung@biostat.columbia.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of adding an electron-beam boost to tangential radiation therapy in patients with negative margins after conservative surgery for early-stage breast cancer,https://pubmed.ncbi.nlm.nih.gov/10637242/,XX,01,2000,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,18,2,0732-183X,J A,Hayman,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI 48109-0010, USA. hayman@umich.edu",B E,Hillner,J R,Harris,L J,Pierce,J C,Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
determination of the human tissue interaction parameters for monte carlo dose calculations in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/11370556/,XX,04,2001,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],177,4,0179-7158,M,Fippel,"Abteilung für Medizinische Physik, Universitätsklinikum Tübingen. msfippel@med.uni-tuebingen.de",F,Nüsslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision involvement and receipt of mastectomy among racially and ethnically diverse breast cancer patients,https://pubmed.ncbi.nlm.nih.gov/19720966/,31,08,2009,Journal of the National Cancer Institute,101,19,1460-2105,Sarah T,Hawley,"Division of General Medicine, Department of Internal Medicine, University of Michigan, 300 N. Ingalls, Ste 7E12, Box 0429, Ann Arbor, MI 48109-0429, USA. sarahawl@med.umich.edu",Jennifer J,Griggs,Ann S,Hamilton,John J,Graff,Nancy K,Janz,Monica,Morrow,Reshma,Jagsi,Barbara,Salem,,,,Steven J,Katz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of intensity-modulated radiotherapy in oropharyngeal cancer,https://pubmed.ncbi.nlm.nih.gov/22739256/,26,06,2012,Clinical oncology (Royal College of Radiologists (Great Britain)),24,7,1433-2981,J H E,Yong,"St. Michael's Hospital, Toronto, ON, Canada.",J,Beca,B,O'Sullivan,S H,Huang,T,McGowan,P,Warde,J S,Hoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predictive models of toxicity with external radiotherapy for prostate cancer: clinical issues,https://pubmed.ncbi.nlm.nih.gov/19544543/,01,07,2009,Cancer,115,13 Suppl,0008-543X,Riccardo,Valdagni,"Prostate Program, Scientific Directorate, National Cancer Institute, Milan, Italy. riccardo.valdagni@istitutotumori.mi.it",Tiziana,Rancati,Claudio,Fiorino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reproducibility of interfraction lung motion probability distribution function using dynamic mri: statistical analysis,https://pubmed.ncbi.nlm.nih.gov/18954717/,15,11,2008,"International journal of radiation oncology, biology, physics",72,4,1879-355X,Jing,Cai,"Department of Radiation Oncology, University of Virginia, Charlottesville, VA 22908, USA.",Paul W,Read,James M,Larner,David R,Jones,Stanley H,Benedict,Ke,Sheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current management of invasive squamous carcinoma of the vulva,https://pubmed.ncbi.nlm.nih.gov/8443731/,XX,02,1993,Clinics in geriatric medicine,9,1,0749-0690,R,Farias-Eisner,"Gynecologic Oncology Service, Rhonda Fleming Women's Clinic, Los Angeles, California.",J S,Berek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimation of the optimal brachytherapy utilization rate in the treatment of gynecological cancers and comparison with patterns of care,https://pubmed.ncbi.nlm.nih.gov/22658439/,01,06,2012,"International journal of radiation oncology, biology, physics",85,2,1879-355X,Stephen R,Thompson,"Collaboration for Cancer Outcomes Research and Evaluation, Liverpool Hospital, Sydney, Australia. stephen.thompson@sesiahs.health.nsw.gov.au",Geoff P,Delaney,Gabriel S,Gabriel,Susannah,Jacob,Prabir,Das,Michael B,Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advances in prostate cancer treatment,https://pubmed.ncbi.nlm.nih.gov/18807706/,XX,09,2008,ONS connect,23,9,1935-1623,Hanan,Saca-Hazboun,"Faculty of Nursing and Health Science, Bethlehem University, West Bank, Palestinian Authority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mri to ct prostate registration for improved targeting in cancer external beam radiotherapy,https://pubmed.ncbi.nlm.nih.gov/27333613/,16,06,2016,IEEE journal of biomedical and health informatics,21,4,2168-2208,Frederic,Commandeur,,Antoine,Simon,Romain,Mathieu,Mohamed,Nassef,Juan David Ospina,Arango,Yan,Rolland,Pascal,Haigron,Renaud,de Crevoisier,,,,Oscar,Acosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy of high-resolution rectal magnetic resonance imaging re-staging with histopathology in locally advanced rectal cancer after neoadjuvant chemoradiotherapy,https://pubmed.ncbi.nlm.nih.gov/32712044/,22,07,2020,Asian journal of surgery,44,1,0219-3108,Supparerk,Laohawiriyakamol,"Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand. Electronic address: lsuppare@gmail.com.",Supong,Worathanmanon,Teeravut,Tubtawee,Kanet,Kanjanapradit,Surasak,Sangkhathat,Nannapat,Pruphetkaew,Virasakdi,Chongsuvivatwong,,,"Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Department of Radiology, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Department of Pathology, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.",,,,,,,,,,,,,,,"Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Epidemiology Unit, Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Epidemiology Unit, Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
