Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Collective Author 1,Collective Author 2,Collective Author 3,Collective Author 4,Collective Author 5,Collective Author 6
what are the information priorities for cancer patients involved in treatment decisions? an experienced surrogate study in hodgkin's disease,https://pubmed.ncbi.nlm.nih.gov/8546910/,XX,01,1996,British journal of cancer,73,2,0007-0920,S,Turner,"Mount Vernon Centre for Cancer Treatment, Northwood, Middlesex, UK.",E J,Maher,T,Young,J,Young,G,Vaughan Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutritional support of children with neoplastic diseases,https://pubmed.ncbi.nlm.nih.gov/3097847/,XX,12,1986,The Surgical clinics of North America,66,6,0039-6109,T D,Coates,,K A,Rickard,J L,Grosfeld,R M,Weetman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satisfaction with care among low-income women with breast cancer,https://pubmed.ncbi.nlm.nih.gov/20088662/,XX,01,2010,Journal of women's health (2002),19,1,1931-843X,Amardeep,Thind,"Department of Family Medicine, Schulich School of Medicine and Dentistry, The University of Western Ontario, London, Canada. athind2@uwo.ca",Lalima,Hoq,Allison,Diamant,Rose C,Maly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigating the psychological impact of active surveillance or active treatment in newly diagnosed favorable-risk prostate cancer patients: a 9-month longitudinal study,https://pubmed.ncbi.nlm.nih.gov/31243872/,08,07,2019,Psycho-oncology,28,8,1099-1611,Eimear,Ruane-McAteer,"School of Nursing and Midwifery, Medical Biology Centre, Queen's University Belfast, Belfast, UK.",Sam,Porter,Joe,O'Sullivan,Martin,Dempster,Gillian,Prue,,,,,,,,,"Department of Social Sciences and Social Work, Bournemouth University, Bournemouth, UK.","The Northern Ireland Cancer Centre, Belfast City Hospital, Belfast, UK.","School of Psychology, Queen's University Belfast, Belfast, UK.","School of Nursing and Midwifery, Medical Biology Centre, Queen's University Belfast, Belfast, UK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the cost-effectiveness of 18fdg-pet in selecting patients with suspicion of recurrent laryngeal carcinoma after radiotherapy for direct laryngoscopy,https://pubmed.ncbi.nlm.nih.gov/19043728/,29,11,2008,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,266,9,1434-4726,Addy C G,van Hooren,"Institute for Medical Technology Assessment, Rotterdam, The Netherlands.",Jolijn,Brouwer,Remco,de Bree,Otto S,Hoekstra,C René,Leemans,Carin A,Uyl-de Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using the skindex-16 and common terminology criteria for adverse events to assess rash symptoms: results of a pooled-analysis (n0993),https://pubmed.ncbi.nlm.nih.gov/21922203/,16,09,2011,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,20,8,1433-7339,Pamela J,Atherton,"Division of Biomedical Statistics and Informatics, Mayo Clinic, 200 First Street, SW, Rochester, MN 55905, USA. atherton@mayo.edu",Kelli N,Burger,Charles L,Loprinzi,Michelle A,Neben Wittich,Robert C,Miller,Aminah,Jatoi,Jeff A,Sloan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can cochrane reviews in controversial areas be biased? a sensitivity analysis based on the protocol of a systematic cochrane review on low-level laser therapy in osteoarthritis,https://pubmed.ncbi.nlm.nih.gov/16262573/,XX,10,2005,Photomedicine and laser surgery,23,5,1549-5418,Jan Magnus,Bjordal,"Section of Physiotherapy Science, University of Bergen, Institute of Physiotherapy, Bergen, Norway. jmb@hib.no",Bård,Bogen,Rodrigo Alvaro Brandao,Lopes-Martins,Atle,Klovning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"depressive disorders in an out-patient oncology setting: prevalence, assessment, and management",https://pubmed.ncbi.nlm.nih.gov/9589509/,XX,XX,1998,Psycho-oncology,7,2,1057-9249,R M,Berard,"Department of Psychiatry, University of Cape Town Medical School, Rondebosch, South Africa.",F,Boermeester,G,Viljoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a markov decision process approach to optimizing cancer therapy using multiple modalities,https://pubmed.ncbi.nlm.nih.gov/30863847/,28,02,2020,Mathematical medicine and biology : a journal of the IMA,37,1,1477-8602,Kelsey,Maass,"Department of Applied Mathematics, University of Washington, Seattle WA, USA.",Minsun,Kim,,,,,,,,,,,,,,,"Department of Radiation Oncology, University of Washington, Seattle WA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a statistical modeling approach for evaluating auto-segmentation methods for image-guided radiotherapy,https://pubmed.ncbi.nlm.nih.gov/22673541/,05,06,2012,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,36,6,1879-0771,Jinzhong,Yang,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA. jyang4@mdanderson.org",Chuanming,Wei,Lifei,Zhang,Yongbin,Zhang,Rick S,Blum,Lei,Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kidney involvement in hematologic malignancies. diagnostic approach,https://pubmed.ncbi.nlm.nih.gov/20483511/,18,05,2010,La Revue de medecine interne,31,10,1768-3122,N,Jourde-Chiche,"Centre de néphrologie et de transplantation rénale, hôpital de la Conception, 13385 Marseille cedex 05, France.",B,Dussol,L,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current concepts in genitourinary oncology: a multidisciplinary approach,https://pubmed.ncbi.nlm.nih.gov/5107052/,XX,09,1971,The Journal of urology,106,3,0022-5347,P,Rubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision analysis to evaluate lymphangiography in the management of patients with hodgkin's disease,https://pubmed.ncbi.nlm.nih.gov/850519/,12,05,1977,The New England journal of medicine,296,19,0028-4793,C,Safran,,J F,Desforges,P N,Tsichlis,A Z,Bluming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oncology decision tree,https://pubmed.ncbi.nlm.nih.gov/11858405/,XX,07,2000,"Collegian (Royal College of Nursing, Australia)",7,3,1322-7696,S,Koodiaroff,ACT community care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-(2-18f-fluoroethyl)-l-tyrosine pet for evaluation of brain metastasis recurrence after radiotherapy: an effectiveness and cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/28204572/,01,09,2017,Neuro-oncology,19,9,1523-5866,Alexander,Heinzel,"Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.",Dirk,Müller,Sareh Said,Yekta-Michael,Garry,Ceccon,Karl-Josef,Langen,Felix M,Mottaghy,Martin,Wiesmann,Martin,Kocher,Elke,Hattingen,"Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.","Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.",Norbert,Galldiks,"Department of Nuclear Medicine, University of Aachen, Aachen, Germany; Institute for Health Economics and Clinical Epidemiology, University of Cologne, Cologne, Germany; Department of Conservative Dentistry, Periodontology and Preventive Dentistry, University of Aachen, Aachen, Germany; Department of Neurology, University of Cologne, Cologne, Germany; Institute for Neuroscience and Medicine, Research Center Juelich, Juelich, Germany; Department of Neuroradiology University of Aachen, Aachen, Germany; Department of Radiation Oncology, University of Cologne, Cologne, Germany; Department of Radiology, University of Bonn, Bonn, Germany; Center of Integrated Oncology (CIO), Universities of Cologne and Bonn, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish consensus for the management of sinonasal tumors,https://pubmed.ncbi.nlm.nih.gov/27814782/,01,11,2016,Acta otorrinolaringologica espanola,68,4,2173-5735,Fernando,López,"Servicio de Otorrinolaringología, Hospital Universitario Central de Asturias, Oviedo, España; Instituto Universitario de Oncología del Principado de Asturias, Universidad de Oviedo, Oviedo, España. Electronic address: flopez_1981@yahoo.es.",Juan José,Grau,José Antonio,Medina,Isam,Alobid,,,,,,,,,,,"Servicio de Oncología Médica, Hospital Clínic de Barcelona, Universidad de Barcelona, Barcelona, España.","Servicio de Oncología Radioterápica, Hospital Universitario Virgen de la Victoria, Málaga, España.","Unidad de Rinología y Base de Cráneo, Servicio de Otorrinolaringología, Hospital Clínic de Barcelona, Universidad de Barcelona, Barcelona, España.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient selection for magnetic resonance imaging of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/11684846/,XX,09,2001,European urology,40,3,0302-2838,M R,Engelbrecht,"Department of Radiology, University Medical Centre, St. Radboud, Nijmegen, The Netherlands. M.Engelbrecht@rdiag.azn.nl",G J,Jager,J L,Severens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
costs and effectiveness of treatment alternatives for proximal caries lesions,https://pubmed.ncbi.nlm.nih.gov/24475208/,27,01,2014,PloS one,9,1,1932-6203,Falk,Schwendicke,"Department of Operative and Preventive Dentistry, Charité - Universitätsmedizin Berlin, Berlin, Germany.",Hendrik,Meyer-Lueckel,Michael,Stolpe,Christof Edmund,Dörfer,Sebastian,Paris,,,,,,,,,"Department of Operative Dentistry, Periodontology and Preventive Dentistry, RWTH Aachen University, Aachen, Germany.","Kiel Institute for the World Economy, Kiel, Germany.","Clinic for Conservative Dentistry and Periodontology, Christian-Albrechts-University, Kiel, Germany.","Department of Operative and Preventive Dentistry, Charité - Universitätsmedizin Berlin, Berlin, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish consensus for the management of patients with anaplastic cell thyroid carcinoma,https://pubmed.ncbi.nlm.nih.gov/27048161/,05,04,2016,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,19,1,1699-3055,P,Jiménez-Fonseca,"Medical Oncology Service, Hospital Universitario Central de Asturias, Avenida de Roma sn, 33011, Oviedo, Spain. palucaji@hotmail.com.",J M,Gómez Saez,J,Santamaria Sandi,J,Capdevila,E,Navarro Gonzalez,C,Zafon Llopis,T,Ramón Y Cajal Asensio,G,Riesco-Eizaguirre,E,Grande,"CIBERDEM, Endocrinology and Nutrition Service, Hospital Universitario de Bellvitge, Barcelona, Spain.","Endocrinology and Nutrition Service, Hospital Universitario de Cruces, Vizcaya, Spain.","Medical Oncology Service, Hospital Universitario de la Vall d'Hebron, Barcelona, Spain.","Endocrinology and Nutrition Service, Hospital Universitario Virgen del Rocio, Sevilla, Spain.","Endocrinology and Nutrition Service, Hospital Universitario de la Vall d'Hebron, Barcelona, Spain.","Medical Oncology Service, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain.","Endocrinology and Nutrition Service, Hospital Universitario de Móstoles, Madrid, Spain.","Medical Oncology Service, Hospital Universitario Ramón y Cajal, Madrid, Spain.",J C,Galofré,"Endocrinology and Nutrition Service, Clínica Universidad de Navarra, Pamplona, Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assessment of a quantitative metric for 4d ct artifact evaluation by observer consensus,https://pubmed.ncbi.nlm.nih.gov/24892346/,08,05,2014,Journal of applied clinical medical physics,15,3,1526-9914,Sarah J,Castillo,The University of Texas Health Science Center. sjoy@mdanderson.org.,Richard,Castillo,Peter,Balter,Tinsu,Pan,Geoffrey,Ibbott,Brian,Hobbs,Ying,Yuan,Thomas,Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the cost-effectiveness of temozolomide in the adjuvant treatment of newly diagnosed glioblastoma in the united states,https://pubmed.ncbi.nlm.nih.gov/23935155/,09,08,2013,Neuro-oncology,15,11,1523-5866,Andrew,Messali,"Corresponding Author: Andrew Messali, PharmD, Leonard D. Schaeffer Center for Health Policy and Economics 3335 South Figueroa Street, Unit A Los Angeles, CA 90089-7273. messali@usc.edu.",Joel W,Hay,Reginald,Villacorta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lymphocytopenia: aetiology and diagnosis, when to think about idiopathic cd4(+) lymphocytopenia?",https://pubmed.ncbi.nlm.nih.gov/22658164/,30,05,2012,La Revue de medecine interne,33,11,1768-3122,A,Régent,"Université Paris Descartes, 12, rue de l'École de médecine, 75270 Paris cedex 06, France.",N,Kluger,A,Bérezné,K,Lassoued,L,Mouthon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the utility and limitations of decision theory in the utilization of surgical staging and extended field radiotherapy in cervical cancer,https://pubmed.ncbi.nlm.nih.gov/6387554/,XX,09,1984,Obstetrical & gynecological survey,39,9,0029-7828,R A,Potish,,L B,Twiggs,L L,Adcock,K A,Prem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision theory and significance of prophylactic postoperative irradiation of breast carcinoma (author's transl),https://pubmed.ncbi.nlm.nih.gov/916262/,XX,10,1977,Rinsho hoshasen. Clinical radiography,22,11,0009-9252,I,Odano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft tissues sarcomas: good medical practices for an optimal management,https://pubmed.ncbi.nlm.nih.gov/16324866/,01,12,2005,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,10,1-2,1278-3218,J,Fayette,"Service d'Oncologie Médicale, Hôpital Edouard-Herriot, pavillon E, 5, place d'Arsonval, 69003 Lyon, France. jfayette@free.fr",J Y,Blay,I,Ray-Coquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
